id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1257706,Newly-renovated Designer Beach apartment,1468965,Jonny & Sabine,,Waverley,-33.88549,151.27849,Entire home/apt,300,7,41,2022-08-06,0.39,1,0,2,PID-STRA-25643
379498,EntireModern DesignerTerrace House,1817516,Micky,,Sydney,-33.88331,151.21261,Entire home/apt,203,90,47,2022-04-22,0.42,2,261,3,PID-STRA-38235
823998,2BD house close to beaches & city,4326256,Simon,,Waverley,-33.89052,151.24187,Entire home/apt,236,90,5,2020-01-04,0.05,1,214,0,
1260530,BONDI Spacious 3 Bedrm | Sea View | Steps to Ocean,6865238,Nick & Ivana,,Waverley,-33.8974,151.27285,Entire home/apt,477,2,240,2022-05-29,2.15,1,44,17,PID-STRA-8726
827069,Private room with Bronte beach view,4337967,Andy,,Waverley,-33.90509,151.26268,Private room,45,90,18,2021-02-27,0.17,1,365,0,
381091,Central + Surry Hills + Views + YAY,1905189,Michael,,Sydney,-33.88362,151.21188,Entire home/apt,149,90,350,2020-03-07,2.75,1,0,0,
386997,Beautiful 2 Bedroom Apt Min Walk to the City,1936434,Thais,,Sydney,-33.88721,151.19794,Entire home/apt,170,7,222,2022-07-26,1.76,15,201,23,PID-STRA-12323-2
1276734,MODERN 3 BED HOUSE INER CITY SYD,6172276,Adam,,Leichhardt,-33.86789,151.17033,Private room,600,90,2,2014-01-09,0.02,4,365,0,
1276799,Avalon Beach Retreat,6949862,David,,Pittwater,-33.63125,151.33583,Entire home/apt,625,2,63,2022-07-18,0.60,2,311,20,PID-STRA-2430-2
397905,Fabulous Bondi Beach - Australia.,1987029,Janice,,Waverley,-33.88478,151.28112,Private room,50,90,8,2018-05-21,0.07,1,0,0,
403909,Master Bedroom w Ensuite &Balcony,2013669,Claire,,Woollahra,-33.88815,151.23214,Private room,75,90,1,2016-01-04,0.01,1,0,0,
832754,Apartment 15 minutes to City with free parking.,4358703,Galina,,Marrickville,-33.91417,151.15346,Entire home/apt,111,3,182,2022-08-16,1.55,3,54,30,PID-STRA-9991-3
1280717,The Double Bay Executive Apartment,113874,Bondi Beach Holiday Homes,,Woollahra,-33.87649,151.24678,Entire home/apt,187,90,59,2021-12-20,0.56,35,285,3,PID-STRA-18637
834482,Dee Why 2 bed unit- stroll to beach,4365688,Lorna,,Warringah,-33.75705,151.29197,Private room,140,90,0,,,1,0,0,
1292602,Gorgeous retreat. Close to Sydney Opera House.,7028222,Kylie,,Sydney,-33.87164,151.2242,Entire home/apt,57,90,346,2020-04-27,3.10,1,0,0,
835531,"AMAZING STUDIO, In URBAN OASIS!",1972133,Phillip,,Sydney,-33.87651,151.22685,Entire home/apt,129,21,103,2022-07-17,0.87,9,124,6,PID-STRA-25764
405375,Stanmore whole home - 2 large dble bedrooms,2020220,Mark,,Marrickville,-33.89387,151.16585,Entire home/apt,240,6,33,2022-07-19,0.33,2,175,4,PID-STRA-11196
408330,Bondi Beach -  Beachfront Stunner,1911628,Cathy,,Waverley,-33.88909,151.2757,Entire home/apt,329,3,130,2022-08-10,1.04,2,97,28,PID-STRA-11868-1
1297960,Bondi Beach right on the sand,5465846,Gregory,,Waverley,-33.89479,151.27318,Private room,100,90,0,,,1,0,0,
410073,Sydney Opera House-20min walk,2041405,Tabitha,,Sydney,-33.87154,151.22094,Entire home/apt,139,3,214,2022-01-07,1.71,2,0,4,PID-STRA-30125
837264,Huge bright loft in sunny Sydney,4375372,John,,Sydney,-33.89676,151.20447,Private room,43,90,3,2016-06-22,0.03,1,0,0,
1314482,Well connected oasis,6435318,Uldis,,Waverley,-33.89916,151.24948,Entire home/apt,161,90,28,2017-02-13,0.25,1,0,0,
837460,Curl Curl Beach Living,4376496,Don,,Warringah,-33.76897,151.29007,Entire home/apt,485,90,2,2019-01-03,0.04,1,192,0,
411828,Private garden studio with bathroom,1391360,David,,Lane Cove,-33.80525,151.15999,Private room,79,2,133,2022-08-14,1.07,1,296,26,PID-STRA-8871-2
1317388,Avalon Beach Break,6949862,David,,Pittwater,-33.63134,151.33437,Entire home/apt,290,2,42,2022-04-13,0.52,2,220,15,PID-STRA-2430-1
413968,*FULLY FURNISHED ROOM*,2059690,Deyaco,,Parramatta,-33.82469,151.02031,Private room,71,168,0,,,2,358,0,
841184,Sale Modern room -Waterloo near CBD,4254184,Dinda,,Sydney,-33.89926,151.2123,Private room,65,4,82,2022-07-23,0.76,3,272,11,PID-STRA-11602-1
1317556,Cosy Private Room - Potts Point,1038573,Tais,,Sydney,-33.86665,151.22503,Private room,98,90,15,2015-05-25,0.14,1,365,0,
1321338,Boutique Penthouse Style Apartment with Deck Walkout,3825886,Ian,,Waverley,-33.89256,151.2533,Entire home/apt,360,3,31,2020-01-20,0.29,1,0,0,PID-STRA-20713
846649,Sea Breeze,4421010,Amy,,Warringah,-33.78347,151.28284,Entire home/apt,163,90,35,2020-03-24,0.37,1,162,0,
846882,Quiet double room w/ new ensuite in Surry Hills,4392096,Lara,,Sydney,-33.89017,151.21611,Private room,150,1,28,2014-02-10,0.24,1,293,0,PID-STRA-39786
421997,Leafy Studio with Tranquil Pittwater View,2098455,Leigh & Phillip,,Pittwater,-33.63919,151.32076,Entire home/apt,190,2,150,2022-08-06,1.27,1,282,13,PID-STRA-2339
1321603,Very special island bed and brunch,7101594,Ann,,Hornsby,-33.53665,151.23909,Private room,150,2,56,2022-08-19,0.51,1,354,7,PID-STRA-7886
430526,Sydney beach side family retreat,2140264,Craig,,Randwick,-33.91155,151.25992,Entire home/apt,750,5,8,2019-12-27,0.07,1,0,0,PID-STRA-13600
847003,Deluxe Penthouse Apartment with City and Harbour Views,2577380,Louise,,Woollahra,-33.87705,151.23272,Entire home/apt,852,3,229,2022-08-29,1.94,1,289,23,PID-STRA-25966
1329486,Spacious! Modern City Apartment,7213382,Bec,,Sydney,-33.89632,151.19936,Entire home/apt,184,90,10,2018-01-12,0.09,1,0,0,
446497,Lovely Family Home Close to Manly!,2200681,Sarah,,Manly,-33.79529,151.27065,Entire home/apt,625,14,11,2019-12-30,0.09,1,312,0,PID-STRA-20417
1336819,"Great 'apartment', minutes to city",5128250,Merrilyn,,Sydney,-33.8819,151.17866,Entire home/apt,110,2,133,2022-08-12,1.21,1,187,19,PID-STRA-15241
460109,Cosy Flat by the Sea!,2260791,Ursula,,Randwick,-33.91579,151.26554,Entire home/apt,85,90,15,2015-10-25,0.12,1,0,0,
858233,Manly Holiday Rentals - One Bedroom Apartment,4491009,Tony,,Manly,-33.7953,151.28736,Entire home/apt,209,4,40,2022-08-28,0.34,2,192,18,PID-STRA-7169-1
1337302,Private Room in Leafy Belrose,7252627,Beatrice,,Warringah,-33.72447,151.21937,Private room,47,90,29,2016-04-06,0.27,1,0,0,
1350061,4Br Home 900m to beach & harbour,7325524,Justin & Germaine,,Manly,-33.7948,151.27107,Entire home/apt,775,90,0,,,1,0,0,
863262,"Near UNSW, POW hospital",2044652,Mei,,Randwick,-33.9159,151.23959,Private room,200,90,1,2016-07-07,0.01,3,91,0,
465977,An Oasis in the centre of vibrant Surry Hills,77867,Lindy,,Sydney,-33.88738,151.21303,Entire home/apt,383,90,44,2019-01-04,0.37,1,91,0,
1382832,Private Duplex near Manly,7487909,Fran,,Manly,-33.80879,151.26495,Entire home/apt,150,90,8,2015-01-27,0.07,1,0,0,
466383,Huge Modern Beach House Nth Curl Curl Beach Views,2315641,John,,Warringah,-33.762707,151.298065,Entire home/apt,1280,7,2,2016-12-26,0.02,1,26,0,PID-STRA-33596
864162,Beach 2 mins Airport or City 10kms.,4525873,Marcella,,Randwick,-33.94647,151.25484,Private room,95,1,33,2022-07-14,0.31,4,42,2,PID-STRA-22040
1383673,"The Wharf Apartments, Woolloomooloo",7490987,Matthew,,Sydney,-33.86989,151.2195,Entire home/apt,200,90,0,,,1,91,0,
866422,"Studio Apartment@Manly Beach,Sydney",4551885,Kirsti,,Manly,-33.79609,151.28624,Entire home/apt,189,1,211,2022-08-31,1.87,2,99,6,PID-STRA-11404
471389,Sunny cosy bedroom near transport,490818,Craig,,Sydney,-33.90224,151.20504,Private room,80,3,170,2022-09-07,1.36,2,239,23,PID-STRA-11084
1387836,"North Bondi, with views and deck",7507809,Kate,,Waverley,-33.89061,151.28517,Entire home/apt,167,90,7,2015-08-10,0.06,1,117,0,
472566,Manly Sunshine Cottage - quiet family retreat,2343880,Clive & Terese,,Warringah,-33.78446,151.2747,Entire home/apt,280,5,91,2022-08-24,0.73,1,175,16,PID-STRA-7520-2
